Index of Six-0-Six articles	https://anzura.urantia-association.org/2021/02/10/a-bit-of-history/	is-title	6-0-6
Vol 7 No 6 July 1986	/image/article/606/covers/Vol7_6.jpg	is-issue	--------------------------------------------------------
Vol 7 No 6 July 1986	/en/article/606/Vol7_6	---	
Conference 1986 Report	/en/article/606/Conference_1986_Report	---	
Commentary On Scientific Statements In The Urantia Book III	/en/article/Ken_Glasziou/Commentary_On_Scientific_Statements_In_UB_3	Ken Glasziou	
Australia — A Pagan Country? A Rejoinder	/en/article/William_Wentworth/Australia_A_Pagan_Country_A_Rejoinder	William Wentworth	
Who Am I	/en/article/Tom_Reynolds/Who_Am_I	Tom Reynolds	
Vol 7 No 7 Sept 1986	/image/article/606/covers/Vol7_7.jpg	is-issue	--------------------------------------------------------
Vol 7 No 7 Sept 1986	/en/article/606/Vol7_7	---	
The Tapestry Or Loving Service	/en/article/Madeline_Noordzy/The_Tapestry_Or_Loving_Service	Madeline Noordzy	
Springtime — A study of the Future	/en/article/Henry_Begemann/Springtime_a_study_of_the_future_2	Henry Begemann	
Commentary On Scientific Statements In The Urantia Book IV	/en/article/Ken_Glasziou/Commentary_On_Scientific_Statements_In_UB_4	Ken Glasziou	
Vol 7 No 8 Nov 1986	/image/article/606/covers/Vol7_8.jpg	is-issue	--------------------------------------------------------
Vol 7 No 8 Nov 1986	/en/article/606/Vol7_8	---	
_The Urantia Book_: The Question Of Origin	/en/article/Ken_Glasziou/The_Urantia_Book_The_Question_Of_Origin	Ken Glasziou	
John the Revelator	/en/article/Trevor_Swadling/John_The_Revelator	Trevor Swadling	Jesus' followers
Say Hello to a Fellow Urantian	/en/article/Madeline_Noordzy/Say_Hello_to_a_Fellow_Urantian	Madeline Noordzy	
Volume 8, 1987	---	is-volume	---
Vol 8 No 1 Jan 1987	/image/article/606/covers/Vol8_1.jpg	is-issue	--------------------------------------------------------
Vol 8 No 1 Jan 1987	/en/article/606/Vol8_1	---	
Vol 8 No 2 March 1987	/image/article/606/covers/Vol8_2.jpg	is-issue	--------------------------------------------------------
Vol 8 No 2 March 1987	/en/article/606/Vol8_2	---	
Vol 8 No 3 May 1987	/image/article/606/covers/Vol8_3.jpg	is-issue	--------------------------------------------------------
Vol 8 No 3 May 1987	/en/article/606/Vol8_3	---	
Vol 8 No 4 July 1987	/image/article/606/covers/Vol8_4.jpg	is-issue	--------------------------------------------------------
Vol 8 No 4 July 1987	/en/article/606/Vol8_4	---	
Lao Shou Hsing, God of Longevity	/en/article/Emmanuel_Lou/Lao_Shou_Hsing_God_of_Longevity	Emmanuel Lou	
Vol 8 No 5 Sept 1987	/image/article/606/covers/Vol8_5.jpg	is-issue	--------------------------------------------------------
Vol 8 No 5 Sept 1987	/en/article/606/Vol8_5	---	
Friendship, Brotherhood and Sonship	/en/article/Henry_Begemann/Friendship_Brotherhood_Sonship	Henry Begemann	
On the matter of Reincarnation	/en/article/Rob_Crickett/On_the_matter_of_Reincarnation	Rob Crickett	
Vol 8 No 6 Nov 1987	/image/article/606/covers/Vol8_6.jpg	is-issue	--------------------------------------------------------
Vol 8 No 6 Nov 1987	/en/article/606/Vol8_6	---	
Volume 9, 1988	---	is-volume	---
Vol 9 No 1 Jan 1988	/image/article/606/covers/Vol9_1.jpg	is-issue	--------------------------------------------------------
Vol 9 No 1 Jan 1988	/en/article/606/Vol9_1	---	
The URANTIA Book in 200 Years Time	/en/article/Kathleen_Swadling/The_Urantia_Book_In_200_Years_Time	Kathleen Swadling	The Urantia Book, Future
Vol 9 No 2 March 1988	/image/article/606/covers/Vol9_2.jpg	is-issue	--------------------------------------------------------
Vol 9 No 2 March 1988	/en/article/606/Vol9_2	---	
Vol 9 No 3 May 1988	/image/article/606/covers/Vol9_3.jpg	is-issue	--------------------------------------------------------
Vol 9 No 3 May 1988	/en/article/606/Vol9_3	---	
Doing God's Will	/en/article/William_Wentworth/Doing_Gods_Will	William Wentworth	
Vol 9 No 4 July 1988	/image/article/606/covers/Vol9_4.jpg	is-issue	--------------------------------------------------------
Vol 9 No 4 July 1988	/en/article/606/Vol9_4	---	
Vol 9 No 5 Sept 1988	/image/article/606/covers/Vol9_5.jpg	is-issue	--------------------------------------------------------
Vol 9 No 5 Sept 1988	/en/article/606/Vol9_5	---	
Urantia — Towards Light And Life	/en/article/Martin_McBurney/Urantia_Towards_Light_Life_2	Martin McBurney	
Exploring Our Own Back Yard — The Solar System	/en/article/Rod_McCourt/Exploring_Our_Own_Back_Yard_The_Solar_System	Rod McCourt	Astronomy
Vol 9 No 6 Nov 1988	/image/article/606/covers/Vol9_6.jpg	is-issue	--------------------------------------------------------
Vol 9 No 6 Nov 1988	/en/article/606/Vol9_6	---	
Volume 10, 1989	---	is-volume	---
Vol 10 No 1 Jan 1989	/image/article/606/covers/Vol10_1.jpg	is-issue	--------------------------------------------------------
Vol 10 No 1 Jan 1989	/en/article/606/Vol10_1	---	
Vol 10 No 2 March 1989	/image/article/606/covers/Vol10_2.jpg	is-issue	--------------------------------------------------------
Vol 10 No 2 March 1989	/en/article/606/Vol10_2	---	
Vol 10 No 3 May 1989	/image/article/606/covers/Vol10_3.jpg	is-issue	--------------------------------------------------------
Vol 10 No 3 May 1989	/en/article/606/Vol10_3	---	
Vol 10 No 4 July 1989	/image/article/606/covers/Vol10_4.jpg	is-issue	--------------------------------------------------------
Vol 10 No 4 July 1989	/en/article/606/Vol10_4	---	
Old Coins in a Shoebox	/en/article/Tony_Rudd/Old_coins_in_a_shoebox	Tony Rudd	
Vol 10 No 5 Sept 1989	/image/article/606/covers/Vol10_5.jpg	is-issue	--------------------------------------------------------
Vol 10 No 5 Sept 1989	/en/article/606/Vol10_5	---	
Vol 10 No 6 Nov 1989	/image/article/606/covers/Vol10_6.jpg	is-issue	--------------------------------------------------------
Vol 10 No 6 Nov 1989	/en/article/606/Vol10_6	---	
Volume 11, 1990	---	is-volume	---
Vol 11 No 1 Jan 1990	/image/article/606/covers/Vol11_1.jpg	is-issue	--------------------------------------------------------
Vol 11 No 1 Jan 1990	/en/article/606/Vol11_1	---	
Vol 11 No 2 10th Anniv	/image/article/606/covers/Vol11_2_10th_anniv.jpg	is-issue	--------------------------------------------------------
Vol 11 No 2 10th Anniv	/en/article/606/Vol11_2_10th_anniv	---	
Vol 11 No 2 March 1990	/image/article/606/covers/Vol11_2.jpg	is-issue	--------------------------------------------------------
Vol 11 No 2 March 1990	/en/article/606/Vol11_2	---	
Vol 11 No 3 May 1990	/image/article/606/covers/Vol11_3.jpg	is-issue	--------------------------------------------------------
Vol 11 No 3 May 1990	/en/article/606/Vol11_3	---	
Vol 11 No 4 July 1990	/image/article/606/covers/Vol11_4.jpg	is-issue	--------------------------------------------------------
Vol 11 No 4 July 1990	/en/article/606/Vol11_4	---	
Vol 11 No 5 Sept 1990	/image/article/606/covers/Vol11_5.jpg	is-issue	--------------------------------------------------------
Vol 11 No 5 Sept 1990	/en/article/606/Vol11_5	---	
Vol 11 No 6 Nov 1990	/image/article/606/covers/Vol11_6.jpg	is-issue	--------------------------------------------------------
Vol 11 No 6 Nov 1990	/en/article/606/Vol11_6	---	
Volume 12, 1991	---	is-volume	---
Vol 12 No 1 Jan 1991	/image/article/606/covers/Vol12_1.jpg	is-issue	--------------------------------------------------------
Vol 12 No 1 Jan 1991	/en/article/606/Vol12_1	---	
Vol 12 No 2 Mar 1991	/image/article/606/covers/Vol12_2.jpg	is-issue	--------------------------------------------------------
Vol 12 No 2 Mar 1991	/en/article/606/Vol12_2	---	
Vol 12 No 2 Part 2 Mar 1991	/en/article/606/Vol12_2part2	---	
Vol 12 No 3 May 1991	/image/article/606/covers/Vol12_3.jpg	is-issue	--------------------------------------------------------
Vol 12 No 3 May 1991	/en/article/606/Vol12_3	---	
Vol 12 No 4 July 1991	/image/article/606/covers/Vol12_4.jpg	is-issue	--------------------------------------------------------
Vol 12 No 4 July 1991	/en/article/606/Vol12_4	---	
Vol 12 No 5 Sept 1991	/image/article/606/covers/Vol12_5.jpg	is-issue	--------------------------------------------------------
Vol 12 No 5 Sept 1991	/en/article/606/Vol12_5	---	
Vol 12 No 6 Nov 1991	/image/article/606/covers/Vol12_6.jpg	is-issue	--------------------------------------------------------
Vol 12 No 6 Nov 1991	/en/article/606/Vol12_6	---	
Volume 13, 1992	---	is-volume	---
Vol 13 No 1 Jan 1992	/image/article/606/covers/Vol13_1.jpg	is-issue	--------------------------------------------------------
Vol 13 No 1 Jan 1992	/en/article/606/Vol13_1	---	
Vol 13 No 2 100th Issue	/image/article/606/covers/Vol13_2.jpg	is-issue	--------------------------------------------------------
Vol 13 No 2 100th Issue	/en/article/606/Vol13_2	---	
Vol 13 No 3 May 1992	/image/article/606/covers/Vol13_3.jpg	is-issue	--------------------------------------------------------
Vol 13 No 3 May 1992	/en/article/606/Vol13_3	---	
Vol 13 No 4 July 1992	/image/article/606/covers/Vol13_4.jpg	is-issue	--------------------------------------------------------
Vol 13 No 4 July 1992	/en/article/606/Vol13_4	---	
Vol 13 No 5 Sept 1992	/image/article/606/covers/Vol13_5.jpg	is-issue	--------------------------------------------------------
Vol 13 No 5 Sept 1992	/en/article/606/Vol13_5	---	
Vol 13 No 6 Nov 1992	/image/article/606/covers/Vol13_6.jpg	is-issue	--------------------------------------------------------
Vol 13 No 6 Nov 1992	/en/article/606/Vol13_6	---	
Volume 14, 1993	---	is-volume	---
Vol 14 No 1 Jan 1993	/image/article/606/covers/Vol14_1.jpg	is-issue	--------------------------------------------------------
Vol 14 No 1 Jan 1993	/en/article/606/Vol14_1	---	
Vol 14 No 2 March 1993	/image/article/606/covers/Vol14_2.jpg	is-issue	--------------------------------------------------------
Vol 14 No 2 March 1993	/en/article/606/Vol14_2	---	
Vol 14 No 3 May 1993	/image/article/606/covers/Vol14_3.jpg	is-issue	--------------------------------------------------------
Vol 14 No 3 May 1993	/en/article/606/Vol14_3	---	
Vol 14 No 4 July 1993	/image/article/606/covers/Vol14_4.jpg	is-issue	--------------------------------------------------------
Vol 14 No 4 July 1993	/en/article/606/Vol14_4	---	
Vol 14 No 5 Sept 1993	/image/article/606/covers/Vol14_5.jpg	is-issue	--------------------------------------------------------
Vol 14 No 5 Sept 1993	/en/article/606/Vol14_5	---	
Vol 14 No 6 Final Issue	/image/article/606/covers/Vol14_6.jpg	is-issue	--------------------------------------------------------
Vol 14 No 6 Final Issue	/en/article/606/Vol14_6	---	
